Assembly Accession	Assembly Name	Organism Name	Organism Infraspecific Names Breed	Organism Infraspecific Names Strain	Organism Infraspecific Names Cultivar	Organism Infraspecific Names Ecotype	Organism Infraspecific Names Isolate	Organism Infraspecific Names Sex	Annotation Name	Assembly Level	Assembly Release Date	WGS project accession	Assembly Stats Number of Scaffolds
GCA_003184925.1	Aspvad1	Aspergillus vadensis CBS 113365		CBS 113365					Annotation submitted by DOE Joint Genome Institute	Scaffold	2018-06-04	MSFS01	60
GCA_002105155.1	Lobtra1	Lobosporangium transversale		NRRL 3116					Annotation submitted by DOE Joint Genome Institute	Contig	2017-04-20	MCFF01	138
GCA_000585515.1	Clad_yegr_CBS_114405_V1	Cladophialophora yegresii CBS 114405		CBS 114405					Annotation submitted by Broad Institute	Scaffold	2014-03-05	AMGW01	8
GCA_003184545.1	Asphet1	Aspergillus heteromorphus CBS 117.55		CBS 117.55					Annotation submitted by DOE Joint Genome Institute	Contig	2018-06-04	MSFL01	205
GCA_003144245.1	Jamsp1	Jaminaea rosea		MCA 5214					Annotation submitted by DOE Joint Genome Institute	Scaffold	2018-05-21	MCHB01	21
GCA_003144205.1	Meimi1	Meira miltonrushii		MCA 3882					Annotation submitted by DOE Joint Genome Institute	Scaffold	2018-05-21	MCHC01	32
GCA_000365145.2	Phia_euro_CBS_101466_V1	Cyphellophora europaea CBS 101466		CBS 101466					Annotation submitted by Broad Institute	Scaffold	2013-12-11	AOBU01	19
GCA_047715735.1	Aspmul1_1	Aspergillus multicolor		CBS 133.54					Annotation submitted by DOE Joint Genome Institute	Scaffold	2025-02-11	JBDQZR01	113
GCA_050403185.1	Rt_pacifica_JCM10908v1	Rhodotorula pacifica		JCM10908					Annotation submitted by Laboratory of Yeast Systematics, Tokyos NODAI Research Institute, Tokyo University Of Agriculture	Contig	2024-05-01	BAABVB01	102
GCA_000709125.1	Exop_aqua_CBS_119918_V1	Exophiala aquamarina CBS 119918		CBS 119918					Annotation submitted by Broad Institute	Scaffold	2014-06-16	AMGV01	151
GCA_003357145.1	ASM335714v1	Venustampulla echinocandica		BP 5553					Annotation submitted by The University of Texas Health Science Center at Houston	Scaffold	2018-08-03	NPIC01	32
GCA_010094035.1	Trepe1	Trematosphaeria pertusa		CBS 122368					Annotation submitted by DOE Joint Genome Institute	Scaffold	2020-01-31	JAAEIY01	101
GCA_003184755.1	Asppip1	Aspergillus piperis CBS 112811		CBS 112811					Annotation submitted by DOE Joint Genome Institute	Scaffold	2018-06-04	PSTD01	47
GCA_022829205.1	ASM2282920v1	Neoarthrinium moseri		CBS 164.80					Annotation submitted by TU Wien	Scaffold	2022-04-06	JAFEVA01	230
GCA_047715705.1	Aspamb1	Aspergillus ambiguus		CBS 117.58					Annotation submitted by DOE Joint Genome Institute	Scaffold	2025-02-11	JBDQZQ01	149
GCA_019669845.1	AcreTS7_1	Emericellopsis atlantica		TS7					Annotation submitted by DOE Joint Genome Institute	Scaffold	2021-08-18	JAFMPH01	114
GCA_010015735.1	Aaoar1	Aaosphaeria arxii CBS 175.79		CBS 175.79					Annotation submitted by DOE Joint Genome Institute	Scaffold	2020-01-29	JAADKL01	55
GCA_006535985.1	ASM653598v1	Synchytrium microbalum		JEL517					Annotation submitted by Agriculture and Agri-Food Canada	Scaffold	2019-07-01	QEAO01	169
GCA_010015815.1	Dotsy1	Dothidotthia symphoricarpi CBS 119687		CBS 119687					Annotation submitted by DOE Joint Genome Institute	Scaffold	2020-01-29	JAADKQ01	59
GCA_000585535.1	Clad_psam_CBS_110553_V1	Cladophialophora psammophila CBS 110553		CBS 110553					Annotation submitted by Broad Institute	Scaffold	2014-03-05	AMGX01	123
GCA_003144135.1	Rhodsp1	Pseudomicrostroma glucosiphilum		MCA 4718					Annotation submitted by DOE Joint Genome Institute	Scaffold	2018-05-21	MCHA01	30
GCA_025602895.1	Polagg1_1	Polychytrium aggregatum		JEL109					Annotation submitted by DOE Joint Genome Institute	Contig	2022-10-05	JAHLKK01	461
GCA_010093935.1	Zasce1	Zasmidium cellare ATCC 36951		ATCC 36951					Annotation submitted by DOE Joint Genome Institute	Scaffold	2020-01-31	JAAEIS01	267
GCA_044049435.1	Asppdef1	Aspergillus pseudodeflectus		CBS 756.74					Annotation submitted by DOE Joint Genome Institute	Scaffold	2024-10-29	JBFXLR01	179
GCA_000576695.1	AUH_PRJEB4427_v1	Kuraishia capsulata CBS 1993		CBS 1993					Annotation submitted by Genoscope CEA	Scaffold	2014-02-11	CBUD02	7
GCA_025024155.1	Mormul1	Gamsiella multidivaricata		RSA 2152					Annotation submitted by DOE Joint Genome Institute	Contig	2022-09-07	JALLKS01	217
GCA_001619985.1	Xylona heveae TC161 v1.0	Xylona heveae TC161		TC161					Annotation submitted by DOE Joint Genome Institute	Scaffold	2016-04-14	JXCS01	27
GCA_027604665.2	UCR_PsJEL0888_ONT_1.0	Polyrhizophydium stewartii		JEL0888					Annotation submitted by University of Michigan	Contig	2024-11-01	JADGIZ02	291
GCA_000400465.1	Wallemia ichthyophaga version 1.0	Wallemia ichthyophaga EXF-994		EXF-994					Annotation submitted by BGI	Scaffold	2013-05-20	APLC01	82
GCA_047715665.1	Aspkar1	Aspergillus karnatakaensis		CBS 102800					Annotation submitted by DOE Joint Genome Institute	Scaffold	2025-02-11	JBDQZP01	239
GCA_044049455.1	Aspluc1	Aspergillus lucknowensis		CBS 449.75					Annotation submitted by DOE Joint Genome Institute	Scaffold	2024-10-29	JBFXLQ01	232
GCA_045784725.1	Aspins1	Aspergillus insuetus		CBS 107.25					Annotation submitted by DOE Joint Genome Institute	Scaffold	2024-12-02	JBJACX01	296
GCA_047715775.1	Aspund1_1	Aspergillus undulatus		CBS 261.88					Annotation submitted by DOE Joint Genome Institute	Scaffold	2025-02-11	JBDQZT01	190
GCA_030913465.1	Colna1	Colletotrichum navitas		CBS 125086					Annotation submitted by DOE Joint Genome Institute	Contig	2023-08-24	JAHLJV01	702
GCA_025766255.1	Zycmex1	Zychaea mexicana		RSA 1403					Annotation submitted by DOE Joint Genome Institute	Contig	2022-10-20	JAIXMT01	357
GCA_009193525.1	Aspser1	Aspergillus sergii		CBS 130017					Annotation submitted by DOE Joint Genome Institute	Scaffold	2019-10-18	STFL01	262
GCA_003184825.1	Aspfij1	Aspergillus fijiensis CBS 313.89		CBS 313.89					Annotation submitted by DOE Joint Genome Institute	Scaffold	2018-06-04	PSTG01	149
GCA_047715535.1	Aspfove1	Aspergillus foveolatus		CBS 279.81					Annotation submitted by DOE Joint Genome Institute	Scaffold	2025-02-11	JBDRAE01	425
GCA_010094085.1	Wesor1	Westerdykella ornata		CBS 379.55					Annotation submitted by DOE Joint Genome Institute	Scaffold	2020-01-31	JAAEJA01	94
GCA_000497045.1	PSEUBRA1	Kalmanozyma brasiliensis GHG001		GHG001					Annotation submitted by Brazilian Biorenewables National Laboratory (LNBR/CNPEM)	Scaffold	2013-11-15	AWXO01	45
GCA_003184845.1	Aspibe1	Aspergillus ibericus CBS 121593		CBS 121593					Annotation submitted by DOE Joint Genome Institute	Scaffold	2018-06-04	PSTI01	116
GCA_010015565.1	Disac1	Dissoconium aciculare CBS 342.82		CBS 342.82					Annotation submitted by DOE Joint Genome Institute	Scaffold	2020-01-29	JAADKD01	54
GCA_001883845.1	ASM188384v1	Diplodia corticola		CBS 112549					Annotation submitted by University of Aveiro	Scaffold	2016-11-18	MNUE01	181
GCA_001642475.1	ASM164247v1	Fonsecaea monophora		CBS 269.37					Annotation submitted by Federal University of Parana	Contig	2016-05-11	LVKK01	324
GCA_047715615.1	Aspven1	Aspergillus venezuelensis		CBS 868.97					Annotation submitted by DOE Joint Genome Institute	Scaffold	2025-02-11	JAZGUD01	715
GCA_038497645.1	Lipchi1	Lipomyces chichibuensis		CBS 12929					Annotation submitted by DOE Joint Genome Institute	Scaffold	2024-04-24	JBBIXO01	169
GCA_009193505.1	Asptra1	Aspergillus transmontanensis		CBS 130015					Annotation submitted by DOE Joint Genome Institute	Scaffold	2019-10-18	STFK01	293
GCA_047715885.1	Asprec1_1	Aspergillus recurvatus		CBS 496.65					Annotation submitted by DOE Joint Genome Institute	Scaffold	2025-02-11	JBDQZZ01	269
GCA_003184695.1	Aspbru1	Aspergillus brunneoviolaceus CBS 621.78		CBS 621.78					Annotation submitted by DOE Joint Genome Institute	Scaffold	2018-06-04	PSTC01	153
GCA_009176405.1	Aspnovo1	Aspergillus novoparasiticus		CBS 126849					Annotation submitted by DOE Joint Genome Institute	Scaffold	2019-10-18	SWDA01	870
GCA_001792695.1	ASM179269v1	Aspergillus bombycis		NRRL 26010					Annotation submitted by USDA-ARS-SRRC	Contig	2016-10-19	LYCR01	450
GCA_010093815.1	Psehy1	Pseudovirgaria hyperparasitica		CBS 121739					Annotation submitted by DOE Joint Genome Institute	Scaffold	2020-01-31	JAAEJS01	122
GCA_025765615.1	Clapol1_1	Zopfochytrium polystomum		WB228					Annotation submitted by DOE Joint Genome Institute	Contig	2022-10-16	JAIVFJ01	943
GCA_030867245.1	Coler1	Colletotrichum eremochloae		CBS 129661					Annotation submitted by DOE Joint Genome Institute	Scaffold	2023-08-22	JAHMUH01	403
GCA_010093625.1	Macan1	Macroventuria anomochaeta		CBS 525.71					Annotation submitted by DOE Joint Genome Institute	Scaffold	2020-01-31	JAAEJG01	75
GCA_038497905.1	Lipjap1	Lipomyces japonicus		CBS 7319					Annotation submitted by DOE Joint Genome Institute	Scaffold	2024-04-24	JBBIWW01	172
GCA_003369625.1	ASM336962v1	Aspergillus mulundensis		DSM 5745					Annotation submitted by The University of Texas Health Science Center at Houston	Scaffold	2018-08-10	PVWQ01	160
GCA_047715865.1	Aspdese1	Aspergillus desertorum		CBS 653.73					Annotation submitted by DOE Joint Genome Institute	Scaffold	2025-02-11	JBDQZX01	288
GCA_045785085.1	Aspcalif1	Aspergillus californicus		CBS 123895					Annotation submitted by DOE Joint Genome Institute	Scaffold	2024-12-02	JBDRAI01	398
GCA_003144195.1	Cersp1	Ceraceosorus guamensis		MCA 4658					Annotation submitted by DOE Joint Genome Institute	Scaffold	2018-05-21	MCHD01	251
GCA_045784785.1	Asphethal1	Aspergillus heterothallicus		CBS 489.65					Annotation submitted by DOE Joint Genome Institute	Scaffold	2024-12-02	JBDRAH01	371
GCA_038497935.1	Diptot1	Dipodascopsis tothii		CBS 759.85					Annotation submitted by DOE Joint Genome Institute	Scaffold	2024-04-24	JBBIWX01	83
GCA_048565125.1	Aspflo1	Aspergillus floccosus		CBS 116.37					Annotation submitted by DOE Joint Genome Institute	Scaffold	2025-03-05	JBDRAK01	224
GCA_001661335.1	Babin1	Babjeviella inositovora NRRL Y-12698		NRRL Y-12698					Annotation submitted by DOE Joint Genome Institute	Scaffold	2016-09-09	LWKO01	49
GCA_010093825.1	Ternu1	Teratosphaeria nubilosa		CBS 116005					Annotation submitted by DOE Joint Genome Institute	Scaffold	2020-01-31	JAAEJT01	273
GCA_045785125.1	Aspger1	Aspergillus germanicus		CBS 123887					Annotation submitted by DOE Joint Genome Institute	Scaffold	2024-12-02	JBDRAJ01	430
GCA_022497145.1	Roster1	Rostrohypoxylon terebratum		CBS 119137					Annotation submitted by DOE Joint Genome Institute	Scaffold	2022-02-28	JAJKKG01	407
GCA_047715765.1	Aspaura1	Aspergillus aurantiobrunneus		CBS 465.65					Annotation submitted by DOE Joint Genome Institute	Scaffold	2025-02-11	JBDQZS01	278
GCA_024628925.1	ASM2462892v1	Candida margitis		CBS 14175					Annotation submitted by Barcelona Supercomputing Center	Scaffold	2022-08-10	JAHZQW01	200
GCA_009193645.1	Asppsen1	Aspergillus pseudonomiae		CBS 119388					Annotation submitted by DOE Joint Genome Institute	Scaffold	2019-10-18	STFR01	374
GCA_001890105.1	Aspzo1	Penicilliopsis zonata CBS 506.65		CBS 506.65					Annotation submitted by DOE Joint Genome Institute	Scaffold	2016-12-08	MRBM01	246
GCA_010093595.1	Mytre1	Mytilinidion resinicola		CBS 304.34					Annotation submitted by DOE Joint Genome Institute	Scaffold	2020-01-31	JAAEJJ01	73
GCA_038497915.1	Lipodoor1	Lipomyces doorenjongii		NRRL Y-27504					Annotation submitted by DOE Joint Genome Institute	Scaffold	2024-04-24	JBBJBO01	276
GCA_001661415.1	Canta1	Suhomyces tanzawaensis NRRL Y-17324		NRRL Y-17324					Annotation submitted by DOE Joint Genome Institute	Scaffold	2016-09-15	LYME01	16
GCA_044089335.1	Aspkev1	Aspergillus keveii		CBS 209.92					Annotation submitted by DOE Joint Genome Institute	Scaffold	2024-10-29	JBFTWV01	587
GCA_010015585.1	Erebi1	Eremomyces bilateralis CBS 781.70		CBS 781.70					Annotation submitted by DOE Joint Genome Institute	Scaffold	2020-01-29	JAADKC01	95
GCA_048571495.1	Aspcru1	Aspergillus crustosus		CBS 478.65					Annotation submitted by DOE Joint Genome Institute	Scaffold	2025-03-13	JBLVOT01	462
GCA_021821965.1	FI-F-10 v. 1	Ordospora pajunii		FI-F-10					Annotation submitted by Illinois Institute of Technology	Contig	2022-02-01	JACCJH01	22
GCA_002572885.1	Emmon_parv_130	Blastomyces parvus		UAMH130					Annotation submitted by Broad Institute	Scaffold	2017-10-17	PDNC01	383
GCA_007821495.1	CFIA_Lhya_EG2017	Lachnellula hyalina		CBS 185.66					Annotation submitted by Canadian Food Inspection Agency (CFIA)	Contig	2019-08-01	QGMH01	685
GCA_023343755.2	ASM2334375v2	Candida oxycetoniae		CBS 10844					Annotation submitted by Barcelona Supercomputing Center	Scaffold	2022-05-12	JAHUZD01	102
GCA_002850765.1	Asptaic1	Aspergillus taichungensis		IBT 19404					Annotation submitted by DOE Joint Genome Institute	Scaffold	2018-01-03	PKFW01	310
GCA_022478815.1	Dalba1	Daldinia bambusicola		CBS 122872					Annotation submitted by DOE Joint Genome Institute	Scaffold	2022-03-03	JAJMPD01	448
GCA_009193665.1	Asppsec1	Aspergillus pseudocaelatus		CBS 117616					Annotation submitted by DOE Joint Genome Institute	Scaffold	2019-10-18	STFS01	466
GCA_029851405.1	ASM2985140v1	Lichtheimia ornata					CBS 291.66		Annotation submitted by Broad Institute	Scaffold	2023-04-20	JARTCD01	603
GCA_010094145.1	Didex1	Didymella exigua CBS 183.55		CBS 183.55					Annotation submitted by DOE Joint Genome Institute	Scaffold	2020-01-31	VOSY01	176
GCA_047715845.1	Aspfalc1	Aspergillus falconensis		CBS 271.91					Annotation submitted by DOE Joint Genome Institute	Scaffold	2025-02-11	JBDQZY01	666
GCA_009176345.1	Asplep1	Aspergillus leporis		CBS 151.66					Annotation submitted by DOE Joint Genome Institute	Scaffold	2019-10-18	SWBU01	615
GCA_030867305.1	Colzo1	Colletotrichum zoysiae		MAFF 238573					Annotation submitted by DOE Joint Genome Institute	Scaffold	2023-08-22	JAHMAF01	617
GCA_041956535.1	Calth1	Calcarisporiella thermophila		CBS 279.70					Annotation submitted by DOE Joint Genome Institute	Scaffold	2024-09-16	JAZGQU01	116
GCA_009193595.1	Aspber1	Aspergillus bertholletiae		IBT 29228					Annotation submitted by DOE Joint Genome Institute	Scaffold	2019-10-18	STFP01	443
GCA_000711695.1	Tilletiaria anomala UBC 951 v1.0	Tilletiaria anomala UBC 951		UBC 951					Annotation submitted by DOE Joint Genome Institute	Contig	2014-05-23	JMSN01	289
GCA_010093885.1	Aplpr1	Aplosporella prunicola CBS 121167		CBS 121167					Annotation submitted by DOE Joint Genome Institute	Scaffold	2020-01-31	JAAEIQ01	334
GCA_003711515.1	Sodal1	Sodiomyces alkalinus F11		F11					Annotation submitted by DOE Joint Genome Institute	Scaffold	2018-11-05	NITX01	29
GCA_047715515.1	Aspsim1_1	Aspergillus similis		CBS 293.93					Annotation submitted by DOE Joint Genome Institute	Scaffold	2025-02-11	JBDRAC01	569
GCA_010093535.1	Linin1	Lindgomyces ingoldianus		ATCC 200398					Annotation submitted by DOE Joint Genome Institute	Scaffold	2020-01-31	JAAEJD01	200
GCA_030867255.1	Colso1	Colletotrichum somersetense		CBS 131599					Annotation submitted by DOE Joint Genome Institute	Scaffold	2023-08-22	JAHMAE01	1012
GCA_047715575.1	Aspvar1	Aspergillus varians		CBS 505.65					Annotation submitted by DOE Joint Genome Institute	Scaffold	2025-02-11	JBBNTZ01	427
GCA_048626375.1	Aspnav1_1	Aspergillus navahoensis		CBS 351.81					Annotation submitted by DOE Joint Genome Institute	Scaffold	2025-03-17	JBDRAB01	731
GCA_044049465.1	Asppust1	Aspergillus pseudoustus		CBS 123904					Annotation submitted by DOE Joint Genome Institute	Scaffold	2024-10-29	JBFXLU01	656
GCA_009193585.1	Aspcae1	Aspergillus caelatus		CBS 763.97					Annotation submitted by DOE Joint Genome Institute	Scaffold	2019-10-18	STFO01	729
GCA_019202705.1	ASM1920270v1	[Candida] subhashii		CBS 10753					Annotation submitted by Barcelona Supercomputing Center	Scaffold	2021-07-13	JAGSYN01	332
GCA_041956645.1	Rasby1	Rasamsonia byssochlamydoides		NRRL 3658					Annotation submitted by DOE Joint Genome Institute	Scaffold	2024-09-16	JAZGTB01	143
GCA_025688805.1	Aspegy1	Aspergillus egyptiacus		CBS 656.73					Annotation submitted by DOE Joint Genome Institute	Scaffold	2022-10-13	SWKD01	682
GCA_002261195.1	ASM226119v1	Bifiguratus adelaidae		AZ0501					Annotation submitted by University of California, Riverside	Scaffold	2017-08-21	MVBO01	560
GCA_000292625.1	Dacryopinax sp. DJM 731 SSP1 v1.0	Dacryopinax primogenitus		DJM-731 SS1					Annotation submitted by DOE Joint Genome Institute	Scaffold	2012-08-23	AEUS01	99
GCA_030867225.1	Colca1	Colletotrichum caudatum		CBS 131602					Annotation submitted by DOE Joint Genome Institute	Scaffold	2023-08-22	JAHLTY01	1257
GCA_001447935.2	debFab1.1	Debaryomyces fabryi		CBS 789					Annotation submitted by University of Natural Resources and Life Sciences, Vienna	Contig	2015-11-25	LMYN01	534
GCA_009193565.1	Aspcor1	Aspergillus coremiiformis		CBS 553.77					Annotation submitted by DOE Joint Genome Institute	Scaffold	2019-10-18	STFN01	2728
GCA_027604725.1	ASM2760472v1	Entophlyctis luteolus		JEL0129					Annotation submitted by DOE Joint Genome Institute	Scaffold	2023-01-09	JADHYT01	1318
GCA_025201845.1	Marpt1	Martensiomyces pterosporus		CBS 209.56					Annotation submitted by DOE Joint Genome Institute	Scaffold	2022-09-09	JAIXMM01	529
GCA_027478445.1	UCR_CasiaNBRC105413_1.0	Coemansia asiatica		NBRC 105413					Annotation submitted by University of Florida	Contig	2022-12-28	JANBOH01	961
GCA_052058875.1	Matr_PS6	Mucor atramentarius		CBS 202.28					Annotation submitted by Duke University School of Medicine	Contig	2025-08-15	JBPVWF01	2321
GCA_021432655.1	Atrsp2	Atractiella rhizophila		PMI 95					Annotation submitted by DOE Joint Genome Institute	Scaffold	2021-12-27	JAJSPF01	1998
GCA_033297235.1	Thian1	Trichocladium antarcticum		CBS 123565					Annotation submitted by DOE Joint Genome Institute	Scaffold	2023-10-26	JASMSM01	153
GCA_005350895.1	ASM535089v1	Colletotrichum tanaceti					BRIP57314		Annotation submitted by The University of Melbourne	Scaffold	2019-05-14	PJEX01	5242
GCA_000760515.2	UGP1.1	Mitosporidium daphniae		UGP3					Annotation submitted by Illinois Institute of Technology	Contig	2014-09-30	JMKJ01	610
GCA_003144235.1	Ustsp1	Violaceomyces palustris		SA 807					Annotation submitted by DOE Joint Genome Institute	Scaffold	2018-05-21	MCHE01	1406
GCA_025201705.1	Disorn1	Dissophora ornata		CBS 347.77					Annotation submitted by DOE Joint Genome Institute	Scaffold	2022-09-02	JAIWZM01	2577
GCA_042366435.1	Acrth1	Phialemonium thermophilum		ATCC 24622					Annotation submitted by DOE Joint Genome Institute	Contig	2024-09-25	JAZHXJ01	3684
GCA_025201865.1	Rambr1	Ramicandelaber brevisporus		CBS 109374					Annotation submitted by DOE Joint Genome Institute	Scaffold	2022-09-09	JAJHGN01	1262
GCA_003325435.1	Razy_CA	Rhizopus azygosporus		CBS 357.93					Annotation submitted by University of California, Riverside	Scaffold	2018-07-17	PJQL01	5775
GCA_000611645.1	mono_v1	Monoraphidium neglectum		SAG 48.87					Annotation submitted by Bielefeld University	Scaffold	2015-02-26	AYTC01	6718
GCA_006783085.1	ASM678308v1	Colletotrichum shisoi		PG-2018a					Annotation submitted by RIKEN	Scaffold	2019-07-09	PUHP01	20745
GCA_027579525.1	UCR_CofuCBS102833_1.0	Coemansia furcata		CBS 102833					Annotation submitted by DOE Joint Genome Institute	Scaffold	2023-01-06	JANBUP01	4897
GCA_033847375.1	Triagg1	Trichoderma aggressivum f. europaeum		CBS 100526					Annotation submitted by Utrecht University	Scaffold	2023-11-21	JAWRVG01	295
GCA_044048685.1	Aspamy1	Aspergillus cavernicola		CBS 600.67					Annotation submitted by DOE Joint Genome Institute	Scaffold	2024-10-29	JBFXLS01	462
GCA_003184635.1	Aspscle1	Aspergillus sclerotiicarbonarius CBS 121057		CBS 121057					Annotation submitted by DOE Joint Genome Institute	Scaffold	2018-06-04	PSSZ01	166
GCA_003184685.1	Aspind1	Aspergillus indologenus CBS 114.80		CBS 114.80					Annotation submitted by DOE Joint Genome Institute	Scaffold	2018-06-04	PSTB01	334
GCA_010015725.1	Amnli1	Amniculicola lignicola CBS 123094		CBS 123094					Annotation submitted by DOE Joint Genome Institute	Scaffold	2020-01-29	JAADKK01	510
GCA_001661425.1	Canar1	[Candida] arabinofermentans NRRL YB-2248		NRRL YB-2248					Annotation submitted by DOE Joint Genome Institute	Scaffold	2016-09-15	LWUO01	62
GCA_010015655.1	Bimnz1	Bimuria novae-zelandiae CBS 107.79		CBS 107.79					Annotation submitted by DOE Joint Genome Institute	Scaffold	2020-01-29	JAADKI01	321
GCA_003184645.1	Aspell1	Aspergillus ellipticus CBS 707.79		CBS 707.79					Annotation submitted by DOE Joint Genome Institute	Scaffold	2018-06-04	PSSY01	518
GCA_001574975.1	Ganpr1	Gonapodya prolifera JEL478		JEL478					Annotation submitted by DOE Joint Genome Institute	Scaffold	2016-02-26	LSZK01	352
GCA_010093945.1	Delco1	Delitschia confertaspora ATCC 74209		ATCC 74209					Annotation submitted by DOE Joint Genome Institute	Scaffold	2020-01-31	JAAEIU01	764
GCA_001692735.1	Leppa1	Lepidopterella palustris CBS 459.81		CBS 459.81					Annotation submitted by DOE Joint Genome Institute	Scaffold	2016-07-26	LKAR01	3371
GCA_000193285.1	Mag_poae_ATCC_64411_V1	Magnaporthiopsis poae ATCC 64411		ATCC 64411					Annotation submitted by Broad Institute	Scaffold	2011-03-21	ADBL01	205
GCA_028827825.1	ASM2882782v1	Penicillium malachiteum		IBT 17515					Annotation submitted by Aalborg University	Contig	2023-02-23	JAQJAO01	6
GCA_028828255.1	ASM2882825v1	Penicillium fimorum		IBT 29495					Annotation submitted by Aalborg University	Contig	2023-02-23	JAPWDS01	7
GCA_028829455.1	ASM2882945v1	Penicillium robsamsonii		IBT 29466					Annotation submitted by Aalborg University	Contig	2023-02-23	JAQJAW01	12
GCA_051403495.1	ASM5140349v1	Parahypoxylon ruwenzoriense		MUCL 51392					Annotation submitted by Bielefeld University	Contig	2025-07-18	JBEDNR01	10
GCA_016097325.1	ASM1609732v1	Aspergillus melleus		CBS 546.65					Annotation submitted by University Complutense of Madrid	Contig	2020-12-16	JADPPX01	11
GCA_038363865.1	ASM3836386v1	Apiospora hydei		CBS 114990					Annotation submitted by Aalborg university	Contig	2024-04-17	JAQQWN01	10
GCA_038362705.1	ASM3836270v1	Apiospora aurea		CBS 24483					Annotation submitted by Aalborg university	Contig	2024-04-22	JAQQWE01	11
GCA_028828445.1	ASM2882844v1	Penicillium paradoxum		IBT 22861					Annotation submitted by Aalborg University	Contig	2023-02-23	JAQJAS01	6
GCA_028829775.1	ASM2882977v1	Penicillium samsonianum		IBT 33392					Annotation submitted by Aalborg University	Contig	2023-02-23	JAQJZT01	11
GCA_038362585.1	ASM3836258v1	Apiospora marii		CBS 49790					Annotation submitted by Aalborg university	Contig	2024-04-22	JAQQWD01	15
GCA_028827245.1	ASM2882724v1	Penicillium angulare		IBT 27051					Annotation submitted by Aalborg University	Contig	2023-02-23	JAPZBL01	12
GCA_902498895.1	sapIngB	Magnusiomyces paraingens		CBS 517.90					Annotation submitted by Comenius University, Faculty of Mathematics, Physics and Informatics	Contig	2019-09-20	CABVLU01	6
GCA_028826845.1	ASM2882684v1	Penicillium canariense		IBT 26290					Annotation submitted by Aalborg University	Contig	2023-02-23	JAPQKN01	9
GCA_040144395.1	ASM4014439v1	[Myrmecia] bisecta		SAG 2043					Annotation submitted by Senckenberg	Scaffold	2024-06-12	JALJOR01	38
GCA_028827645.1	ASM2882764v1	Penicillium hetheringtonii		IBT 29057					Annotation submitted by Aalborg University	Contig	2023-02-23	JAQJAC01	10
GCA_028829465.1	ASM2882946v1	Penicillium soppii		IBT 18220					Annotation submitted by Aalborg University	Contig	2023-02-23	JAQKAI01	8
GCA_044167205.1	ASM4416720v1	Ceratocystis lukuohia		C4212					Annotation submitted by Iowa State University	Contig	2024-10-31	JABSNW01	12
GCA_028827695.1	ASM2882769v1	Penicillium maclennaniae		IBT 15551					Annotation submitted by Aalborg University	Contig	2023-02-23	JAQJAJ01	8
GCA_038363925.1	ASM3836392v1	Apiospora phragmitis		CBS 135458					Annotation submitted by Aalborg university	Contig	2024-04-17	JAQQWL01	18
GCA_014898465.1	ASM1489846v1	Botrytis porri		MUCL 3234					Annotation submitted by Wageningen University	Contig	2020-10-20	RCTA01	31
GCA_030805415.1	CspeluHIS016_v1	Cutaneotrichosporon spelunceum		HIS016					Annotation submitted by Tokyo University of Agriculture	Contig	2023-06-25	BTCM01	12
GCA_903819665.1	AWRI4233	Aureobasidium mustum							Annotation submitted by THE AUSTRALIAN WINE RESEARCH INSTITUTE	Contig	2021-09-21	CAIJEO01	13
GCA_014898435.1	ASM1489843v1	Botrytis sinoallii		Bc 23					Annotation submitted by Wageningen University	Contig	2020-10-20	RCTB01	47
GCA_903819635.1	AWRI4619	Aureobasidium vineae							Annotation submitted by THE AUSTRALIAN WINE RESEARCH INSTITUTE	Contig	2021-09-21	CAIJEN01	17
GCA_903853725.1	AWRI4620	Aureobasidium uvarum							Annotation submitted by THE AUSTRALIAN WINE RESEARCH INSTITUTE	Contig	2021-09-21	CAINUL01	19
GCA_024043165.1	ASM2404316v1	Alternaria incomplexa		BMP 0042					Annotation submitted by Cornell University	Scaffold	2022-06-29	JAFVMA01	91
GCA_023758025.1	ASM2375802v1	Alternaria triticimaculans		BMP 0046					Annotation submitted by Cornell University	Scaffold	2022-06-17	JAFVLX01	236
GCA_024043155.1	ASM2404315v1	Alternaria arbusti		BMP 1465					Annotation submitted by Cornell University	Scaffold	2022-06-29	JAFVLW01	75
GCA_051557425.1	TUD_CryArg_v1.0	Cryptotrichosporon argae		CM 19					Annotation submitted by TU Dresden - IHI Zittau	Contig	2025-07-15	JBBXJO01	13
GCA_023758065.1	ASM2375806v1	Alternaria ventricosa		BMP 2768					Annotation submitted by Cornell University	Scaffold	2022-06-17	JAFVLV01	89
GCA_014898295.1	ASM1489829v1	Botrytis byssoidea		MUCL 94					Annotation submitted by Wageningen University	Contig	2020-10-20	RCSW01	59
GCA_023758075.1	ASM2375807v1	Alternaria novae-zelandiae		BMP 2774					Annotation submitted by Cornell University	Scaffold	2022-06-17	JAFVLT01	204
GCA_024043175.1	ASM2404317v1	Alternaria infectoria		BMP 0036					Annotation submitted by Cornell University	Scaffold	2022-06-29	JAFVMC01	236
GCA_035928015.1	ASM3592801v1	Saxophila tyrrhenica		CCFEE 5935					Annotation submitted by Shed LighT in the daRk lineagES of the Fungal tree of life (STRES)	Scaffold	2024-01-22	JAVRRT01	90
