Organism_Name,Group name,Domain/Realm name,Kingdom name,Phylum name,Class name,Order name,Family name,Genus name,Species taxid,acc,query,tar_tco,full_e_tco,full_score_tco,full_bias_tco,dom_e_tco,dom_score_tco,dom_bias_tco,tar_RAPTOR,full_e_RAPTOR,full_score_RAPTOR,full_bias_RAPTOR,dom_e_RAPTOR,dom_score_RAPTOR,dom_bias_RAPTOR,ProteinPresence
Kluyveromyces lactis,budding yeasts & allies,Eukaryota,Fungi,Ascomycota,Saccharomycetes,Saccharomycetales,Saccharomycetaceae,Kluyveromyces,28985,GCA_007993695.1,PTHR12848.orig.30.pir,QEU61421.1,1.1999999999999999e-221,735.9,51.8,1.3999999999999999e-221,735.6,51.8,QEU58634.1,0,1360.4,13.8,0,1360,13.8,TCO and RAPTOR
Candidozyma auris,budding yeasts & allies,Eukaryota,Fungi,Ascomycota,Pichiomycetes,Serinales,Metschnikowiaceae,Candidozyma,498019,GCA_008275145.1,PTHR12848.orig.30.pir,QEL60575.1,1.9e-11,42.2,42.3,3e-7,28.3,31.2,QEL58369.1,0,1409.7,1.4,0,1409.3,1.4,TCO and RAPTOR
Pyrenophora tritici-repentis,ascomycete fungi,Eukaryota,Fungi,Ascomycota,Dothideomycetes,Pleosporales,Pleosporaceae,Pyrenophora,45151,GCA_008692205.1,PTHR12848.orig.30.pir,KAA8613852.1,4.3e-8,32.4,2.8,4.3e-8,32.4,2.8,KAA8614942.1,0,1503.1,0,0,1502.7,0,TCO and RAPTOR
Sphaerosporella brunnea,ascomycete fungi,Eukaryota,Fungi,Ascomycota,Pezizomycetes,Pezizales,Pyronemataceae,Sphaerosporella,1250544,GCA_008704415.1,PTHR12848.orig.30.pir,KAA8909644.1,2.7e-13,49.4,2,2.7e-13,49.4,2,KAA8914605.1,0,1518.6,0,0,1518.2,0,TCO and RAPTOR
Diutina rugosa,budding yeasts & allies,Eukaryota,Fungi,Ascomycota,Pichiomycetes,Serinales,Debaryomycetaceae,Diutina,5481,GCA_008704595.1,PTHR12848.orig.30.pir,KAA8906744.1,5.3e-16,57.3,24.6,2.1e-8,32.2,2.7,KAA8897930.1,0,1372,4.8,0,1371.6,4.8,TCO and RAPTOR
Trichomonascus ciferrii,budding yeasts & allies,Eukaryota,Fungi,Ascomycota,Dipodascomycetes,Dipodascales,Trichomonascaceae,Trichomonascus,44093,GCA_008704605.1,PTHR12848.orig.30.pir,KAA8909902.1,5.9e-12,44.2,12.7,5.9e-12,44.2,12.7,KAA8909123.1,0,1432.5,0.1,0,1432,0.1,TCO and RAPTOR
Saccharomyces cerevisiae,budding yeasts & allies,Eukaryota,Fungi,Ascomycota,Saccharomycetes,Saccharomycetales,Saccharomycetaceae,Saccharomyces,4932,GCA_009014655.1,PTHR12848.orig.30.pir,GES67722.1,1.6e-117,392.3,64.5,3.2e-117,391.3,64.5,GES68906.1,0,1420.4,20,0,1420,20,TCO and RAPTOR
Yarrowia lipolytica,budding yeasts & allies,Eukaryota,Fungi,Ascomycota,Dipodascomycetes,Dipodascales,NA,Yarrowia,4952,GCA_009194645.1,PTHR12848.orig.30.pir,KAB8285597.1,4.5e-10,37.9,0.2,4.5e-10,37.9,0.2,KAB8286126.1,0,1428.4,0.1,0,1428,0.1,TCO and RAPTOR
Yarrowia lipolytica,budding yeasts & allies,Eukaryota,Fungi,Ascomycota,Dipodascomycetes,Dipodascales,NA,Yarrowia,4952,GCA_009372015.1,PTHR12848.orig.30.pir,KAE8175315.1,4.5e-10,37.9,0.2,4.5e-10,37.9,0.2,KAE8171390.1,0,1428.4,0.1,0,1428,0.1,TCO and RAPTOR
Clavispora lusitaniae,budding yeasts & allies,Eukaryota,Fungi,Ascomycota,Pichiomycetes,Serinales,Metschnikowiaceae,Clavispora,36911,GCA_009498055.1,PTHR12848.orig.30.pir,QFZ29310.1,1.8e-10,39,37,3.2e-8,31.6,1.5,QFZ28134.1,0,1390.5,0,0,1390.1,0,TCO and RAPTOR
Clavispora lusitaniae,budding yeasts & allies,Eukaryota,Fungi,Ascomycota,Pichiomycetes,Serinales,Metschnikowiaceae,Clavispora,36911,GCA_009498075.1,PTHR12848.orig.30.pir,QFZ34973.1,1.8e-10,39,37,3.2e-8,31.6,1.5,QFZ33797.1,0,1390.5,0,0,1390.1,0,TCO and RAPTOR
Clavispora lusitaniae,budding yeasts & allies,Eukaryota,Fungi,Ascomycota,Pichiomycetes,Serinales,Metschnikowiaceae,Clavispora,36911,GCA_009498095.1,PTHR12848.orig.30.pir,QFZ40658.1,1.8e-10,39,37,3.2e-8,31.6,1.5,QFZ39481.1,0,1390.5,0,0,1390.1,0,TCO and RAPTOR
Clavispora lusitaniae,budding yeasts & allies,Eukaryota,Fungi,Ascomycota,Pichiomycetes,Serinales,Metschnikowiaceae,Clavispora,36911,GCA_009498115.1,PTHR12848.orig.30.pir,QFZ46338.1,1.8e-10,39,37,3.2e-8,31.6,1.5,QFZ45163.1,0,1390.5,0,0,1390.1,0,TCO and RAPTOR
Clavispora lusitaniae,budding yeasts & allies,Eukaryota,Fungi,Ascomycota,Pichiomycetes,Serinales,Metschnikowiaceae,Clavispora,36911,GCA_009498135.1,PTHR12848.orig.30.pir,QFZ52000.1,1.8e-10,39,37,3.2e-8,31.6,1.5,QFZ50827.1,0,1390.5,0,0,1390.1,0,TCO and RAPTOR
Pyrenophora teres f. teres,NA,NA,NA,NA,NA,NA,NA,NA,97479,GCA_009728645.1,PTHR12848.orig.30.pir,KAE8825105.1,7.3e-8,31.3,2,7.3e-8,31.3,2,KAE8835669.1,0,1502.4,0,0,1501.9,0,TCO and RAPTOR
Pyrenophora teres f. teres,NA,NA,NA,NA,NA,NA,NA,NA,97479,GCA_009728655.1,PTHR12848.orig.30.pir,KAE8857636.1,7.3e-8,31.3,2,7.3e-8,31.3,2,KAE8861590.1,0,1502.4,0,0,1501.9,0,TCO and RAPTOR
Pyrenophora teres f. teres,NA,NA,NA,NA,NA,NA,NA,NA,97479,GCA_009728665.1,PTHR12848.orig.30.pir,KAE8854974.1,7.2e-8,31.3,2,7.2e-8,31.3,2,KAE8858571.1,0,1502.4,0,0,1501.9,0,TCO and RAPTOR
Pyrenophora teres f. teres,NA,NA,NA,NA,NA,NA,NA,NA,97479,GCA_009728675.1,PTHR12848.orig.30.pir,KAE8827130.1,7.3e-8,31.3,2,7.3e-8,31.3,2,KAE8824969.1,0,1502.4,0,0,1501.9,0,TCO and RAPTOR
Hanseniaspora uvarum,budding yeasts & allies,Eukaryota,Fungi,Ascomycota,Saccharomycetes,Saccharomycodales,Saccharomycodaceae,Hanseniaspora,29833,GCA_009805715.1,PTHR12848.orig.30.pir,KAF0267683.1,3.3e-22,77.3,71.3,3.3e-22,77.3,71.3,KAF0268155.1,0,1262.3,10.7,0,1261.8,10.7,TCO and RAPTOR
Hanseniaspora uvarum,budding yeasts & allies,Eukaryota,Fungi,Ascomycota,Saccharomycetes,Saccharomycodales,Saccharomycodaceae,Hanseniaspora,29833,GCA_009805765.1,PTHR12848.orig.30.pir,KAF0273760.1,5.8999999999999995e-24,83,71.7,5.8999999999999995e-24,83,71.7,KAF0271141.1,0,1262.6,10.5,0,1262.2,10.5,TCO and RAPTOR
Hanseniaspora uvarum,budding yeasts & allies,Eukaryota,Fungi,Ascomycota,Saccharomycetes,Saccharomycodales,Saccharomycodaceae,Hanseniaspora,29833,GCA_009805785.1,PTHR12848.orig.30.pir,KAF0275521.1,5.2e-22,76.6,71.8,5.2e-22,76.6,71.8,KAF0275303.1,0,1262.7,10.9,0,1262.3,10.9,TCO and RAPTOR
Eremomyces bilateralis CBS 781.70,NA,NA,NA,NA,NA,NA,NA,NA,1392243,GCA_010015585.1,PTHR12848.orig.30.pir,KAF1813449.1,1.8e-10,39.8,3.1,1.2e-4,20.6,0,KAF1810164.1,0,1469.1,0,0,1468.7,0,TCO and RAPTOR
Decorospora gaudefroyi,ascomycete fungi,Eukaryota,Fungi,Ascomycota,Dothideomycetes,Pleosporales,Pleosporaceae,Decorospora,184978,GCA_010015605.1,PTHR12848.orig.30.pir,KAF1832486.1,2.2e-8,33.1,1.9,2.2e-8,33.1,1.9,KAF1838491.1,0,1514.5,0.2,0,1514,0.2,TCO and RAPTOR
Cucurbitaria berberidis CBS 394.84,NA,NA,NA,NA,NA,NA,NA,NA,1168544,GCA_010015615.1,PTHR12848.orig.30.pir,KAF1850378.1,1.3e-7,30.7,0.3,8.3e-5,21.4,0,KAF1841423.1,0,1508.4,0.1,0,1507.9,0.1,TCO and RAPTOR
Clathrospora elynae,ascomycete fungi,Eukaryota,Fungi,Ascomycota,Dothideomycetes,Pleosporales,Diademaceae,Clathrospora,706981,GCA_010015635.1,PTHR12848.orig.30.pir,KAF1941658.1,1.3e-8,34.1,1.6,1.3e-8,34.1,1.6,KAF1947251.1,0,1510.8,0.1,0,1510.4,0.1,TCO and RAPTOR
Setomelanomma holmii,ascomycete fungi,Eukaryota,Fungi,Ascomycota,Dothideomycetes,Pleosporales,Phaeosphaeriaceae,Setomelanomma,210430,GCA_010015745.1,PTHR12848.orig.30.pir,KAF2025586.1,7e-9,35.1,4.2,7e-9,35.1,4.2,KAF2034435.1,0,1503.5,0,0,1503,0,TCO and RAPTOR
Saccharata proteae CBS 121410,NA,NA,NA,NA,NA,NA,NA,NA,1314787,GCA_010015785.1,PTHR12848.orig.30.pir,KAF2092257.1,1.3e-8,33.6,21.3,4.4e-8,31.8,21.3,KAF2090069.1,0,1512.5,0.2,0,1512.1,0.2,TCO and RAPTOR
Lophiotrema nucula,ascomycete fungi,Eukaryota,Fungi,Ascomycota,Dothideomycetes,Pleosporales,Lophiotremataceae,Lophiotrema,690887,GCA_010015825.1,PTHR12848.orig.30.pir,KAF2117432.1,2.1e-7,30.5,14.8,1.6e-4,21,0,KAF2109718.1,0,1500.4,0.2,0,1499.6,0.2,TCO and RAPTOR
Mytilinidion resinicola,ascomycete fungi,Eukaryota,Fungi,Ascomycota,Dothideomycetes,Mytilinidiales,Mytilinidiaceae,Mytilinidion,574789,GCA_010093595.1,PTHR12848.orig.30.pir,KAF2802809.1,5.5e-10,38.9,16.2,4.1e-5,22.8,0,KAF2805386.1,0,1488.7,0.2,0,1488.3,0.2,TCO and RAPTOR
Lophium mytilinum,ascomycete fungi,Eukaryota,Fungi,Ascomycota,Dothideomycetes,Mytilinidiales,Mytilinidiaceae,Lophium,390894,GCA_010093605.1,PTHR12848.orig.30.pir,KAF2494900.1,2.1e-10,40.1,13.1,1.1e-5,24.6,0,KAF2488929.1,0,1501.8,1.7,0,1501.3,1.7,TCO and RAPTOR
Polyplosphaeria fusca,ascomycete fungi,Eukaryota,Fungi,Ascomycota,Dothideomycetes,Pleosporales,Tetraplosphaeriaceae,Polyplosphaeria,682080,GCA_010093805.1,PTHR12848.orig.30.pir,KAF2732557.1,2.5e-9,36.6,3,2.5e-9,36.6,3,KAF2741247.1,0,1505.8,0.2,0,1505.2,0.2,TCO and RAPTOR
Aplosporella prunicola CBS 121167,NA,NA,NA,NA,NA,NA,NA,NA,1176127,GCA_010093885.1,PTHR12848.orig.30.pir,KAF2139425.1,8.9e-9,34.5,3.7,8.9e-9,34.5,3.7,KAF2146361.1,0,1519.9,0.2,0,1519.5,0.2,TCO and RAPTOR
Lojkania enalia,ascomycete fungi,Eukaryota,Fungi,Ascomycota,Dothideomycetes,Pleosporales,NA,Lojkania,147567,GCA_010094045.1,PTHR12848.orig.30.pir,KAF2263111.1,1.3e-8,34.2,0.5,4e-6,25.9,0,KAF2265299.1,0,1529.5,4.7,0,1529,4.7,TCO and RAPTOR
Nakaseomyces glabratus,budding yeasts & allies,Eukaryota,Fungi,Ascomycota,Saccharomycetes,Saccharomycetales,Saccharomycetaceae,Nakaseomyces,5478,GCA_010111755.1,PTHR12848.orig.30.pir,QHS64867.1,4.399999999999999e-232,770.3,55.2,5.899999999999999e-232,769.9,55.2,QHS69617.1,0,1350.2,7.4,0,1349.8,7.4,TCO and RAPTOR
Mucor lusitanicus,mucoromycotan fungi,Eukaryota,Fungi,Mucoromycota,Mucoromycetes,Mucorales,Mucoraceae,Mucor,29924,GCA_010203745.1,PTHR12848.orig.30.pir,KAF1796705.1,4.7e-9,35.4,0.2,4.7e-9,35.4,0.2,KAF1802495.1,0,1436.4,6.6,0,1436.2,6.6,TCO and RAPTOR
Saccharomyces cerevisiae,budding yeasts & allies,Eukaryota,Fungi,Ascomycota,Saccharomycetes,Saccharomycetales,Saccharomycetaceae,Saccharomyces,4932,GCA_010356925.1,PTHR12848.orig.30.pir,KAF1901364.1,8.800000000000001e-118,393.2,63.3,1.9e-117,392.1,63.3,KAF1907461.1,0,1420.9,19.1,0,1420.5,19.1,TCO and RAPTOR
Saccharomyces cerevisiae,budding yeasts & allies,Eukaryota,Fungi,Ascomycota,Saccharomycetes,Saccharomycetales,Saccharomycetaceae,Saccharomyces,4932,GCA_010356935.1,PTHR12848.orig.30.pir,KAF1908628.1,8.7e-118,393.2,63.3,1.9e-117,392.1,63.3,KAF1903548.1,0,1420.9,19.1,0,1420.5,19.1,TCO and RAPTOR
Saccharomyces pastorianus,budding yeasts & allies,Eukaryota,Fungi,Ascomycota,Saccharomycetes,Saccharomycetales,Saccharomycetaceae,Saccharomyces,27292,GCA_011022315.1,PTHR12848.orig.30.pir,QID88256.1,2.3999999999999998e-119,399.3,55.9,5.899999999999999e-119,398,55.9,QID80031.1,0,1420.7,19.4,0,1420.3,19.4,TCO and RAPTOR
Xylaria multiplex,ascomycete fungi,Eukaryota,Fungi,Ascomycota,Sordariomycetes,Xylariales,Xylariaceae,Xylaria,323545,GCA_011057905.1,PTHR12848.orig.30.pir,KAF2971722.1,1.6e-9,36.8,2.2,8.9e-9,34.3,2.2,KAF2969009.1,0,1495.8,1.8,0,1495.2,1.8,TCO and RAPTOR
Orbilia oligospora,ascomycete fungi,Eukaryota,Fungi,Ascomycota,Orbiliomycetes,Orbiliales,Orbiliaceae,Orbilia,2813651,GCA_011066845.1,PTHR12848.orig.30.pir,KAF3277333.1,4.7e-9,35.5,0.8,2.4e-5,23.2,0,KAF3284776.1,0,1532.6,0,0,1531.9,0,TCO and RAPTOR
Brettanomyces nanus,budding yeasts & allies,Eukaryota,Fungi,Ascomycota,Pichiomycetes,Pichiales,Pichiaceae,Brettanomyces,13502,GCA_011074865.2,PTHR12848.orig.30.pir,QPG73678.1,6e-12,43.6,22.9,6e-12,43.6,22.9,QPG76569.1,0,1270.3,0.1,0,1269.9,0.1,TCO and RAPTOR
Brettanomyces bruxellensis,budding yeasts & allies,Eukaryota,Fungi,Ascomycota,Pichiomycetes,Pichiales,Pichiaceae,Brettanomyces,5007,GCA_011074885.2,PTHR12848.orig.30.pir,QOU19571.1,6.9e-13,46.8,40.4,1.7e-12,45.5,27.7,QOU20968.1,0,1280.2,4.5,0,1279.8,4.5,TCO and RAPTOR
Rhizopus delemar,mucoromycotan fungi,Eukaryota,Fungi,Mucoromycota,Mucoromycetes,Mucorales,Rhizopodaceae,Rhizopus,936053,GCA_011763605.1,PTHR12848.orig.30.pir,KAG1471079.1,2.2e-12,46.7,9.8,3e-12,46.2,9.8,KAG1473432.1,0,1461.1,7.5,0,1460.8,7.5,TCO and RAPTOR
Rhizopus arrhizus,mucoromycotan fungi,Eukaryota,Fungi,Mucoromycota,Mucoromycetes,Mucorales,Rhizopodaceae,Rhizopus,64495,GCA_011763645.1,PTHR12848.orig.30.pir,KAG1118893.1,9.2e-8,32.4,12,9.2e-8,32.4,12,KAG1130324.1,0,1476.3,4.9,0,1476,4.9,TCO and RAPTOR
Candidozyma haemuli var. vulneris,NA,NA,NA,NA,NA,NA,NA,NA,1231523,GCA_012184645.1,PTHR12848.orig.30.pir,KAF3987593.1,1.1e-10,39.6,71.5,1.7e-7,29.1,0.6,KAF3987509.1,0,1409,1.2,0,1408.5,1.2,TCO and RAPTOR
Candidozyma haemuli var. vulneris,NA,NA,NA,NA,NA,NA,NA,NA,1231523,GCA_012184655.1,PTHR12848.orig.30.pir,KAF3989149.1,1.2e-10,39.6,71.5,1.7e-7,29.1,0.6,KAF3986204.1,0,1409,1.2,0,1408.5,1.2,TCO and RAPTOR
Saccharomyces cerevisiae,budding yeasts & allies,Eukaryota,Fungi,Ascomycota,Saccharomycetes,Saccharomycetales,Saccharomycetaceae,Saccharomyces,4932,GCA_012275245.1,PTHR12848.orig.30.pir,KAF4002087.1,1.5999999999999999e-55,188.1,9.4,1.5999999999999999e-55,188.1,9.4,KAF4003535.1,0,1420.7,19.8,0,1420.3,19.8,TCO and RAPTOR
Alternaria burnsii,ascomycete fungi,Eukaryota,Fungi,Ascomycota,Dothideomycetes,Pleosporales,Pleosporaceae,Alternaria,1187904,GCA_013036055.1,PTHR12848.orig.30.pir,KAF7675636.1,3.1e-8,32.6,4.6,3.1e-8,32.6,4.6,KAF7677421.1,0,1457.4,1.5,0,1457,1.5,TCO and RAPTOR
Metarhizium anisopliae,ascomycete fungi,Eukaryota,Fungi,Ascomycota,Sordariomycetes,Hypocreales,Clavicipitaceae,Metarhizium,5530,GCA_013305495.1,PTHR12848.orig.30.pir,KAF5130216.1,1.9e-7,30.3,2.9,0.011,14.5,0,KAF5138220.1,0,1457.8,0.8,0,1457.5,0.8,TCO and RAPTOR
Geotrichum candidum,budding yeasts & allies,Eukaryota,Fungi,Ascomycota,Dipodascomycetes,Dipodascales,Dipodascaceae,Geotrichum,1173061,GCA_013305595.1,PTHR12848.orig.30.pir,KAF5114806.1,2.7e-12,44.9,6.2,2.7e-12,44.9,6.2,KAF5119282.1,7.8e-237,787.7,0.1,9.7e-237,787.3,0.1,TCO and RAPTOR
Geotrichum galactomycetum,budding yeasts & allies,Eukaryota,Fungi,Ascomycota,Dipodascomycetes,Dipodascales,Dipodascaceae,Geotrichum,27317,GCA_013305805.1,PTHR12848.orig.30.pir,KAF5093732.1,1.4e-11,42.4,10.3,1.4e-11,42.4,10.3,KAF5092943.1,4.1e-150,500.2,0.2,5.7e-150,499.8,0.2,TCO and RAPTOR
Geotrichum candidum,budding yeasts & allies,Eukaryota,Fungi,Ascomycota,Dipodascomycetes,Dipodascales,Dipodascaceae,Geotrichum,1173061,GCA_013365045.1,PTHR12848.orig.30.pir,KAF5109256.1,6.8e-13,46.9,4.5,6.8e-13,46.9,4.5,KAF5109718.1,2.0999999999999998e-237,789.5,0.2,2.7e-237,789.2,0.2,TCO and RAPTOR
Geotrichum candidum,budding yeasts & allies,Eukaryota,Fungi,Ascomycota,Dipodascomycetes,Dipodascales,Dipodascaceae,Geotrichum,1173061,GCA_013365065.1,PTHR12848.orig.30.pir,KAF5128957.1,4.8e-13,47.4,3.9,4.8e-13,47.4,3.9,KAF5122931.1,7.3e-237,787.7,0.1,9.099999999999999e-237,787.4,0.1,TCO and RAPTOR
Geotrichum candidum,budding yeasts & allies,Eukaryota,Fungi,Ascomycota,Dipodascomycetes,Dipodascales,Dipodascaceae,Geotrichum,1173061,GCA_013365075.1,PTHR12848.orig.30.pir,KAF5115982.1,2.7e-12,44.9,6.2,2.7e-12,44.9,6.2,KAF5122714.1,7.3e-237,787.7,0.1,9.099999999999999e-237,787.4,0.1,TCO and RAPTOR
Geotrichum candidum,budding yeasts & allies,Eukaryota,Fungi,Ascomycota,Dipodascomycetes,Dipodascales,Dipodascaceae,Geotrichum,1173061,GCA_013365125.1,PTHR12848.orig.30.pir,KAF5103431.1,7.8e-13,46.7,4.7,7.8e-13,46.7,4.7,KAF5099351.1,2.0999999999999998e-237,789.5,0.2,2.7e-237,789.2,0.2,TCO and RAPTOR
Zygotorulaspora mrakii,budding yeasts & allies,Eukaryota,Fungi,Ascomycota,Saccharomycetes,Saccharomycetales,Saccharomycetaceae,Zygotorulaspora,42260,GCA_013402915.1,PTHR12848.orig.30.pir,QLG73463.1,5.799999999999999e-119,396.9,42.9,6.9e-119,396.7,42.9,QLG72985.1,0,1369.2,12.6,0,1368.8,12.6,TCO and RAPTOR
Torulaspora globosa,budding yeasts & allies,Eukaryota,Fungi,Ascomycota,Saccharomycetes,Saccharomycetales,Saccharomycetaceae,Torulaspora,48254,GCA_013694445.1,PTHR12848.orig.30.pir,QLQ79741.1,5.499999999999999e-120,400.3,39.2,5.499999999999999e-120,400.3,39.2,QLQ77821.1,0,1379.4,10.8,0,1378.9,10.8,TCO and RAPTOR
Candida parapsilosis,budding yeasts & allies,Eukaryota,Fungi,Ascomycota,Pichiomycetes,Serinales,Debaryomycetaceae,Candida,5480,GCA_014049445.1,PTHR12848.orig.30.pir,KAF6057383.1,1.8e-10,39.1,28,8.9e-7,26.9,18.2,KAF6057174.1,0,1408.5,0.1,0,1408,0.1,TCO and RAPTOR
Candida parapsilosis,budding yeasts & allies,Eukaryota,Fungi,Ascomycota,Pichiomycetes,Serinales,Debaryomycetaceae,Candida,5480,GCA_014049455.1,PTHR12848.orig.30.pir,KAF6048512.1,1.8e-10,39.1,28,8.9e-7,26.9,18.2,KAF6043099.1,0,1408.5,0.1,0,1408,0.1,TCO and RAPTOR
Candida albicans,budding yeasts & allies,Eukaryota,Fungi,Ascomycota,Pichiomycetes,Serinales,Debaryomycetaceae,Candida,5476,GCA_014049485.1,PTHR12848.orig.30.pir,KAF6063268.1,5.2e-11,41.2,50.5,3.3e-8,32,1.4,KAF6063203.1,0,1374.8,0.9,0,1370,0.9,TCO and RAPTOR
Candida parapsilosis,budding yeasts & allies,Eukaryota,Fungi,Ascomycota,Pichiomycetes,Serinales,Debaryomycetaceae,Candida,5480,GCA_014049495.1,PTHR12848.orig.30.pir,KAF6065898.1,1.8e-10,39.1,28,8.8e-7,26.9,18.2,KAF6066107.1,0,1408.5,0.1,0,1408,0.1,TCO and RAPTOR
Candida parapsilosis,budding yeasts & allies,Eukaryota,Fungi,Ascomycota,Pichiomycetes,Serinales,Debaryomycetaceae,Candida,5480,GCA_014049585.1,PTHR12848.orig.30.pir,KAF6049532.1,1.8e-10,39.1,28,8.9e-7,26.9,18.2,KAF6049323.1,0,1408.5,0.1,0,1408,0.1,TCO and RAPTOR
Tuber brumale,ascomycete fungi,Eukaryota,Fungi,Ascomycota,Pezizomycetes,Pezizales,Tuberaceae,Tuber,60458,GCA_014065205.1,PTHR12848.orig.30.pir,KAG0640767.1,5.6e-9,35.2,11.7,2e-5,23.5,0.1,KAG0642964.1,0,1178.9,0,0,1178.5,0,TCO and RAPTOR
Tuber indicum,ascomycete fungi,Eukaryota,Fungi,Ascomycota,Pezizomycetes,Pezizales,Tuberaceae,Tuber,55307,GCA_014065215.1,PTHR12848.orig.30.pir,KAG0130879.1,4.5e-8,32.1,0.3,3.3e-5,22.7,0,KAG0133097.1,0,1543.3,0,0,1543.3,0,TCO and RAPTOR
Saccharomyces cerevisiae,budding yeasts & allies,Eukaryota,Fungi,Ascomycota,Saccharomycetes,Saccharomycetales,Saccharomycetaceae,Saccharomyces,4932,GCA_014132375.1,PTHR12848.orig.30.pir,GFP65964.1,4.3999999999999995e-117,390.8,65.5,8.899999999999999e-117,389.8,65.5,GFP68535.1,0,1420.7,19.8,0,1420.3,19.8,TCO and RAPTOR
Saccharomyces cerevisiae,budding yeasts & allies,Eukaryota,Fungi,Ascomycota,Saccharomycetes,Saccharomycetales,Saccharomycetaceae,Saccharomyces,4932,GCA_014132395.1,PTHR12848.orig.30.pir,GFP71114.1,1.3e-117,392.4,64,2.8e-117,391.3,64,GFP73464.1,0,1420.7,19.8,0,1420.3,19.8,TCO and RAPTOR
Torulaspora globosa,budding yeasts & allies,Eukaryota,Fungi,Ascomycota,Saccharomycetes,Saccharomycetales,Saccharomycetaceae,Torulaspora,48254,GCA_014133895.1,PTHR12848.orig.30.pir,QLL32864.1,7.8e-118,393.1,39.5,7.8e-118,393.1,39.5,QLL30254.1,0,1375.5,9,0,1375,9,TCO and RAPTOR
Brettanomyces bruxellensis,budding yeasts & allies,Eukaryota,Fungi,Ascomycota,Pichiomycetes,Pichiales,Pichiaceae,Brettanomyces,5007,GCA_014176175.1,PTHR12848.orig.30.pir,KAF6015045.1,2.6e-13,48.3,39.6,4.1e-12,44.3,30,KAF6010638.1,0,1251.2,4.1,0,1250.8,4.1,TCO and RAPTOR
Brettanomyces bruxellensis,budding yeasts & allies,Eukaryota,Fungi,Ascomycota,Pichiomycetes,Pichiales,Pichiaceae,Brettanomyces,5007,GCA_014176185.1,PTHR12848.orig.30.pir,KAF6012132.1,2.4e-12,45.1,28.8,2.4e-12,45.1,28.8,KAF6014597.1,0,1234,4.4,0,1233.5,4.4,TCO and RAPTOR
Nakaseomyces glabratus,budding yeasts & allies,Eukaryota,Fungi,Ascomycota,Saccharomycetes,Saccharomycetales,Saccharomycetaceae,Nakaseomyces,5478,GCA_014217725.1,PTHR12848.orig.30.pir,QNG12575.1,4.799999999999999e-229,760.3,55.1,6.499999999999999e-229,759.9,55.1,QNG17293.1,0,1350.2,7.4,0,1349.8,7.4,TCO and RAPTOR
Yarrowia lipolytica,budding yeasts & allies,Eukaryota,Fungi,Ascomycota,Dipodascomycetes,Dipodascales,NA,Yarrowia,4952,GCA_014490615.1,PTHR12848.orig.30.pir,QNP99272.1,4.3e-10,37.9,0.2,4.3e-10,37.9,0.2,QNP98837.1,0,1429.2,0.1,0,1428.9,0.1,TCO and RAPTOR
Geotrichum candidum,budding yeasts & allies,Eukaryota,Fungi,Ascomycota,Dipodascomycetes,Dipodascales,Dipodascaceae,Geotrichum,1173061,GCA_014596635.1,PTHR12848.orig.30.pir,KAF7498958.1,4.8e-13,47.4,3.9,4.8e-13,47.4,3.9,KAF7499326.1,7.3e-237,787.7,0.1,9.099999999999999e-237,787.4,0.1,TCO and RAPTOR
Clavispora lusitaniae,budding yeasts & allies,Eukaryota,Fungi,Ascomycota,Pichiomycetes,Serinales,Metschnikowiaceae,Clavispora,36911,GCA_014636115.1,PTHR12848.orig.30.pir,KAF7581890.1,3.4e-11,41.3,13.5,2.4e-8,31.9,1.5,KAF7582779.1,0,1390.4,0,0,1389.9,0,TCO and RAPTOR
Apophysomyces ossiformis,mucoromycotan fungi,Eukaryota,Fungi,Mucoromycota,Mucoromycetes,Mucorales,Mucoraceae,Apophysomyces,679940,GCA_014839865.1,PTHR12848.orig.30.pir,KAF7727606.1,4.2e-11,41.8,0.2,4.2e-11,41.8,0.2,KAF7731549.1,0,1363.8,10.2,0,1363.5,10.2,TCO and RAPTOR
Entomophthora muscae,zoopagomycotan fungi,Eukaryota,Fungi,Zoopagomycota,Entomophthoromycetes,Entomophthorales,Entomophthoraceae,Entomophthora,34485,GCA_014839935.2,PTHR12848.orig.30.pir,KAJ9055156.1,1.5e-9,38.9,7.4,2.3e-9,38.3,7.4,KAJ9056133.1,0,1310.4,0,0,1310.1,0,TCO and RAPTOR
Acephala macrosclerotiorum,ascomycete fungi,Eukaryota,Fungi,Ascomycota,Leotiomycetes,Helotiales,Mollisiaceae,Acephala,886606,GCA_014904845.1,PTHR12848.orig.30.pir,KAF8864773.1,8.6e-8,32,4.2,6.2e-4,19.3,2.1,KAF8849776.1,0,1487.6,0,0,1487.6,0,TCO and RAPTOR
Wilcoxina mikolae CBS 423.85,NA,NA,NA,NA,NA,NA,NA,NA,1314677,GCA_014904905.1,PTHR12848.orig.30.pir,KAF8244103.1,2.2e-10,39.9,0,2.2e-10,39.9,0,KAF8244660.1,0,1530.3,0,0,1528.7,0,TCO and RAPTOR
Saccharomyces cerevisiae,budding yeasts & allies,Eukaryota,Fungi,Ascomycota,Saccharomycetes,Saccharomycetales,Saccharomycetaceae,Saccharomyces,4932,GCA_014905575.1,PTHR12848.orig.30.pir,GHM91826.1,4.6e-117,390.8,65.5,9.1e-117,389.8,65.5,GHM92304.1,0,1420.7,19.8,0,1420.3,19.8,TCO and RAPTOR
